id,medicament_id,indication
1,1,Baisse visuelle due à l'oedème maculaire diabétique
2,1,Baisse visuelle due à une néovascularisation choroïdienne
3,1,Néovascularisation choroïdienne secondaire à la DMLA
4,1,Oedème maculaire dû à une occlusion veineuse rétinienne
5,1,Rétinopathie diabétique proliférante
6,3,Rides canthales latérales
7,3,Rides verticales intersourcillières
8,6,"Ce médicament associe deux hypocholestérolémiants avec des mécanismes d'action complémentaires : l'ézétimibe, qui inhibe l'absorption du cholestérol dans l'intestin, et la simvastatine, de la famille des statines, qui diminue la production du cholestérol dans l'organisme. Il permet d'abaisser fortement le taux de cholestérol circulant dans le sang. Une étude a également montré sa capacité à réduire le risque d'accidents cardiovasculaires (infarctus du myocarde, accident vasculaire cérébral...) chez les patients ayant déjà été victimes d'une maladie coronarienne aiguë."
9,6,"le traitement des excès de cholestérol, en complément d'un régime adapté et assidu, lorsqu'une statine seule n'est pas suffisamment efficace ;"
10,6,la prévention des événements cardiovasculaires en cas de maladie coronarienne grave.
11,6,Hypercholestérolémie familiale homozygote
12,6,"Hypercholestérolémie, traitement de 2e intention (de l')"
13,6,"Hypercholestérolémie, traitement de substitution (de l')"
14,6,Prévention d'évènement cardiovasculaire chez le patient coronarien avec un antécédent de SCA
15,7,"Ce médicament associe deux hypocholestérolémiants avec des mécanismes d'action complémentaires : l'ézétimibe, qui inhibe l'absorption du cholestérol dans l'intestin, et la simvastatine, de la famille des statines, qui diminue la production du cholestérol dans l'organisme. Il permet d'abaisser fortement le taux de cholestérol circulant dans le sang. Une étude a également montré sa capacité à réduire le risque d'accidents cardiovasculaires (infarctus du myocarde, accident vasculaire cérébral...) chez les patients ayant déjà été victimes d'une maladie coronarienne aiguë."
16,7,"le traitement des excès de cholestérol, en complément d'un régime adapté et assidu, lorsqu'une statine seule n'est pas suffisamment efficace ;"
17,7,la prévention des événements cardiovasculaires en cas de maladie coronarienne grave.
18,7,Hypercholestérolémie familiale homozygote
19,7,"Hypercholestérolémie, traitement de 2e intention (de l')"
