id,medicament_id,medicament_interaction
1,6,"les antiprotéases (nelfinavir...) et les médicaments contenant du kétoconazole, de l'itraconazole, du posoconazole, du voriconazole, de la clarithromycine, de l'érythromycine (par voie orale), de la télithromycine, du bocéprévir, du télaprévir, du gemfibrozil, du danazol ou de la ciclosporine : risque fortement accru de douleurs musculaires."
2,6,"un traitement antibiotique contenant de l'acide fusidique : si l'utilisation d'acide fusidique est nécessaire, la prise de simvastatine doit être interrompue pendant toute la durée du traitement par l'acide fusidique et pendant les 7 jours qui suivent son arrêt."
3,6,"Il peut interagir avec les hypolipidémiants de la famille des fibrates ou avec un médicament contenant de l'amlodipine, de l'amiodarone, du vérapamil, du diltiazem, de la colchicine, de l'acide nicotinique, du lomitapide, de l'elbasvir, du grazoprévir ou du ticagrélor ; le médecin en tient compte dans le calcul de la posologie."
4,6,Informez par ailleurs votre médecin si vous prenez des anticoagulants oraux.
5,6,"En cas d'association avec une résine (colestyramine par exemple), ce médicament doit être administré à distance de la résine (soit 2 heure avant, soit 4 heures après)."
6,7,"les antiprotéases (nelfinavir...) et les médicaments contenant du kétoconazole, de l'itraconazole, du posoconazole, du voriconazole, de la clarithromycine, de l'érythromycine (par voie orale), de la télithromycine, du bocéprévir, du télaprévir, du gemfibrozil, du danazol ou de la ciclosporine : risque fortement accru de douleurs musculaires."
7,7,"un traitement antibiotique contenant de l'acide fusidique : si l'utilisation d'acide fusidique est nécessaire, la prise de simvastatine doit être interrompue pendant toute la durée du traitement par l'acide fusidique et pendant les 7 jours qui suivent son arrêt."
8,7,"Il peut interagir avec les hypolipidémiants de la famille des fibrates ou avec un médicament contenant de l'amlodipine, de l'amiodarone, du vérapamil, du diltiazem, de la colchicine, de l'acide nicotinique, du lomitapide, de l'elbasvir, du grazoprévir ou du ticagrélor ; le médecin en tient compte dans le calcul de la posologie."
9,7,Informez par ailleurs votre médecin si vous prenez des anticoagulants oraux.
10,7,"En cas d'association avec une résine (colestyramine par exemple), ce médicament doit être administré à distance de la résine (soit 2 heure avant, soit 4 heures après)."
11,8,"les antiprotéases (nelfinavir...) et les médicaments contenant du kétoconazole, de l'itraconazole, du posoconazole, du voriconazole, de la clarithromycine, de l'érythromycine (par voie orale), de la télithromycine, du bocéprévir, du télaprévir, du gemfibrozil, du danazol ou de la ciclosporine : risque fortement accru de douleurs musculaires."
12,8,"un traitement antibiotique contenant de l'acide fusidique : si l'utilisation d'acide fusidique est nécessaire, la prise de simvastatine doit être interrompue pendant toute la durée du traitement par l'acide fusidique et pendant les 7 jours qui suivent son arrêt."
13,8,"Il peut interagir avec les hypolipidémiants de la famille des fibrates ou avec un médicament contenant de l'amlodipine, de l'amiodarone, du vérapamil, du diltiazem, de la colchicine, de l'acide nicotinique, du lomitapide, de l'elbasvir, du grazoprévir ou du ticagrélor ; le médecin en tient compte dans le calcul de la posologie."
14,8,Informez par ailleurs votre médecin si vous prenez des anticoagulants oraux.
15,8,"En cas d'association avec une résine (colestyramine par exemple), ce médicament doit être administré à distance de la résine (soit 2 heure avant, soit 4 heures après)."
16,9,"En l'absence d'études, l'association aux hypolipidémiants de la famille des fibrates n'est pas recommandée."
17,9,Informez par ailleurs votre médecin ou votre pharmacien si vous prenez un anticoagulant oral ou un médicament contenant de la ciclosporine ou de la cholestyramine.
18,10,"les antiprotéases (nelfinavir...) et les médicaments contenant du kétoconazole, de l'itraconazole, du posoconazole, du voriconazole, de la clarithromycine, de l'érythromycine (par voie orale), de la télithromycine, du bocéprévir, du télaprévir, du gemfibrozil, du danazol ou de la ciclosporine : risque fortement accru de douleurs musculaires."
19,10,"un traitement antibiotique contenant de l'acide fusidique : si l'utilisation d'acide fusidique est nécessaire, la prise de simvastatine doit être interrompue pendant toute la durée du traitement par l'acide fusidique et pendant les 7 jours qui suivent son arrêt."
20,10,"Il peut interagir avec les hypolipidémiants de la famille des fibrates ou avec un médicament contenant de l'amlodipine, de l'amiodarone, du vérapamil, du diltiazem, de la colchicine, de l'acide nicotinique, du lomitapide, de l'elbasvir, du grazoprévir ou du ticagrélor ; le médecin en tient compte dans le calcul de la posologie."
21,10,Informez par ailleurs votre médecin si vous prenez des anticoagulants oraux.
22,10,"En cas d'association avec une résine (colestyramine par exemple), ce médicament doit être administré à distance de la résine (soit 2 heure avant, soit 4 heures après)."
